"ID","Time","User.ID","Book.ID","Page","State","Type.Code","Difficulty..1.5.","Background.Knowledge.Needed..1.5.","Graesser.Inference.Type","Question","Response","Glenn.s.rating","Amber.s.rating","Final.rating","Text.used.to.make.inference"
2,"16/06/2018 22:15",249,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","She was very scared. She was feeling the speed of the space shuttle. she remembered her mom and wanted to meet her very soon.","0,5","1,0","0,5","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
5,"03/08/2018 18:55",291,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","Shiranna feels both excited and nervous as the shuttle is taking off.","0,5","1,0","1,0","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
6,"03/08/2018 23:16",294,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","like she can do it !","0,0","0,5","0,0","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
7,"18/08/2018 14:59",305,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","She is nervous but trying to be brave","0,5","1,0","0,5","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
8,"20/08/2018 16:14",312,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","Nervous, but also excited to be with her mother.","0,5","1,0","1,0","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
9,"22/08/2018 20:47",320,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","Anxious but determined, and attempting to remain positive.","0,5","1,0","0,5","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
10,"26/08/2018 20:00",329,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","Shiranna feels scared, brave, and maybe a little nervous.","0,5","1,0","0,5","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
11,"28/08/2018 10:59",333,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","Nervous and unsettled, though resolved and determined, because she us after all, eleven years old.","0,5","1,0","0,5","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
12,"28/08/2018 14:39",336,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","Afraid and Vulnerable","1,0","0,5","0,5","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
14,"30/08/2018 19:20",349,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","Shiranna felt thrilled and terrified.","0,5","1,0","1,0","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
15,"31/08/2018 22:51",361,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","She felt nervous, excited and brave all at the same time.","0,5","1,0","1,0","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
16,"02/09/2018 21:17",368,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","Shiranna feels scared and nervous (as she is holding onto her P.A.I.R.) to be on the space shuttle, however is also trying to be brave because she wants to see her mom.","0,5","1,0","0,5","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
17,"16/06/2018 22:10",250,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","she feels terrified and scared.","0,5","0,5","0,5","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
18,"14/06/2018 19:22",240,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","Shiranna felt nervous","0,5","0,5","0,5","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
19,"14/06/2018 12:12",237,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","She feels quite nervous.","0,5","0,5","0,5","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
20,"16/06/2018 00:31",246,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","Shiranna feels excited and scared as the shuttle is taking off and it even affects her heart-rate and her temperature.","1,0","1,0","1,0","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
21,"16/06/2018 00:37",246,2,1,0,98,2,1,"Character emotional reaction","How does Shiranna feel as the shuttle is taking off?","Shiranna feels excited and scared as the shuttle is taking off and it even affects her heart-rate and her temperature.","1,0","1,0","1,0","Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave …."
